Attribute           Value
type                IPv4
string              127.0.0.2
host                127.0.0.2
port                0
network address     127.0.0.2
network mask        ffffffff
network             127.0.0.2
mask bits           32
binary              01111111000000000000000000000010
hex                 7f000002
first usable        127.0.0.2
last usable         127.0.0.2
octets              127 0 0 2
broadcast           127.0.0.2
uint32              2130706434
dial packet args    "udp4" ""
dial stream args    "tcp4" ""
listen packet args  "udp4" "127.0.0.2:0"
listen stream args  "tcp4" "127.0.0.2:0"
