Attribute           Value
type                IPv4
string              127.0.0.2/8
host                127.0.0.2
port                0
network address     127.0.0.2
network mask        ff000000
network             127.0.0.0/8
mask bits           8
binary              01111111000000000000000000000010
hex                 7f000002
first usable        127.0.0.1
last usable         127.255.255.254
octets              127 0 0 2
broadcast           127.255.255.255
uint32              2130706434
dial packet args    "udp4" ""
dial stream args    "tcp4" ""
listen packet args  "udp4" ""
listen stream args  "tcp4" ""
